,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
1116,AF Ifill (Caym),2019-2019,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1117,Iftikhar Ahmed (PAK),2016-2019,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1118,Ilyas Ahmed (KUW),2019-2019,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1119,Imran Ashraf (QAT),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1120,Imran Haider (UAE),2016-2019,11,11,1,1,0,0,1,1 (1ct 0st),0.09
1121,PJ Ingram (NZ),2010-2010,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1122,DF Jacobs (THAI),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1123,KM Jadhav (INDIA),2015-2017,9,9,1,1,0,0,1,1 (1ct 0st),0.111
1124,S Jamil (Belg),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1125,Jasdeep Singh (USA),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1126,Jaspreet Singh (ITA),2019-2019,5,4,1,1,0,0,1,1 (1ct 0st),0.25
1127,K Jethi (CAN),2008-2008,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1128,J Jojo (DEN),2019-2019,7,5,1,1,0,0,1,1 (1ct 0st),0.2
1129,MO Jones (BMUDA),2019-2019,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1130,NG Jones (IRE),2010-2012,5,4,1,1,0,0,1,1 (1ct 0st),0.25
1131,C Jonker (SA),2018-2018,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1132,Junaid Siddique (BDESH),2007-2012,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1133,Kaleem Shah (Moz),2019-2019,7,6,1,1,0,0,1,1 (1ct 0st),0.166
1134,JK Kamande (KENYA),2007-2010,12,12,1,1,0,0,1,1 (1ct 0st),0.083
1135,Kamran Shazad (UAE),2014-2014,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1136,TE Kane (IRE),2015-2019,7,5,1,1,0,0,1,1 (1ct 0st),0.2
1137,S Keshvani (CAN),2010-2010,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1138,RWT Key (ENG),2009-2009,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1139,N Khanna (MALTA),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1140,Khizer Ahmed (NOR),2019-2019,5,5,1,0,1,0,0,1 (0ct 1st),0.2
1141,N Khosla (MALTA),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1142,Khurram Chohan (CAN),2010-2010,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1143,TCR Kimber (GUE),2019-2019,3,3,1,0,1,0,0,1 (0ct 1st),0.33299999999999996
1144,NR Kirton (CAN),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1145,RK Kleinveldt (SA),2008-2013,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1146,Kuldeep Singh (PHI),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1147,P Kumar (INDIA),2008-2012,10,10,1,1,0,0,1,1 (1ct 0st),0.1
1148,R Kumar (ROM),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1149,UKPW Kumaranayaka (KUW),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1150,A Lagos (),2019-2019,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1151,H Lakov (),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1152,CK Langeveldt (SA),2005-2010,9,9,1,1,0,0,1,1 (1ct 0st),0.111
1153,B Laughlin (AUS),2009-2013,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1154,J Lewis (ENG),2005-2007,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1155,ML Lewis (AUS),2006-2006,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1156,RN Lewis (WI),2008-2008,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1157,NCK Liyanage (MAL),2019-2019,6,5,1,1,0,0,1,1 (1ct 0st),0.2
1158,KS Lokuarachchi (SL),2012-2012,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1159,J Long (PHI),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1160,T Lungameni (NAM),2019-2019,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1161,GD McGrath (AUS),2005-2005,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1162,NJ Maddinson (AUS),2013-2018,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1163,DL Maddy (ENG),2007-2007,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1164,Mahedi Hasan (BDESH),2018-2018,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1165,Mahmad Data (PNM),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1166,S Mahmood (ENG),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1167,SI Mahmood (ENG),2006-2009,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1168,GI Maiden (SCOT),2008-2008,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1169,BF Mailata (Samoa),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1170,GT Main (SCOT),2015-2016,4,2,1,1,0,0,1,1 (1ct 0st),0.5
1171,D Maisuria (Botsw),2019-2019,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1172,A Makesh (KUW),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1173,AK Mandal (NEPAL),2015-2015,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1174,Mandeep Singh (INDIA),2016-2016,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1175,P Manning (Caym),2019-2019,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1176,AK Markram (SA),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1177,HJH Marshall (NZ),2005-2006,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1178,OM Marshall (Peru),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1179,CS Martin (NZ),2007-2008,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1180,DR Martyn (AUS),2005-2006,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1181,I Master (Botsw),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1182,GE Mathurin (WI),2011-2012,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1183,B Mavuta (ZIM),2018-2018,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1184,M Meade (Chile),2019-2019,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1185,SC Meaker (ENG),2012-2012,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1186,J Mees (LUX),2019-2019,3,3,1,1,0,1,0,1 (1ct 0st),0.33299999999999996
1187,PHKD Mendis (SL),2018-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1188,CAJ Meschede (GER),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1189,KO Meth (ZIM),2012-2012,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1190,Mian Mehmood (PORT),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1191,AJ Michael (Samoa),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1192,TS Mills (ENG/ICC),2016-2018,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1193,A Mishra (INDIA),2010-2017,10,10,1,1,0,0,1,1 (1ct 0st),0.1
1194,P Mishra (),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1195,K Modise (Botsw),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1196,Mohammad Irfan (PAK),2012-2019,22,22,1,1,0,0,1,1 (1ct 0st),0.045
1197,Mohammad Kashif (NL),2010-2010,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1198,Mohammad Shahzad (UAE),2015-2017,20,20,1,1,0,0,1,1 (1ct 0st),0.05
1199,Mohammad Tauqir (UAE),2015-2015,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1200,Mohammad Yousuf (PAK),2006-2010,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1201,JN Mohammed (WI),2017-2018,9,9,1,1,0,0,1,1 (1ct 0st),0.111
1202,Mohammed Qasim (UAE),2016-2017,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1203,Mohammed Siraj (INDIA),2017-2018,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1204,HJC Mol (NL),2008-2008,4,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1205,Mominul Haque (BDESH),2012-2014,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1206,D Mongia (INDIA),2006-2006,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1207,M Mooketsi (Botsw),2019-2019,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1208,Mudassar Muhammad (GER),2019-2019,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1209,Muhamad Syahadat (MAL),2019-2019,10,9,1,1,0,0,1,1 (1ct 0st),0.111
1210,Muhammad Amir (MAL),2019-2019,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1211,Muhammad Asjed (ESP),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1212,Muhammad Kaleem (UAE),2016-2016,9,9,1,1,0,0,1,1 (1ct 0st),0.111
1213,Muhammad Khurram (MWI),2019-2019,5,5,1,1,0,1,0,1 (1ct 0st),0.2
1214,Muhammad Naeem (Saudi),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1215,Muhammad Saleem (),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1216,JK Mukhiya (NEPAL),2014-2015,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1217,EMDY Munaweera (SL),2012-2017,13,13,1,1,0,0,1,1 (1ct 0st),0.076
1218,GBW Munaweera (QAT),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1219,Munir Dar (HKG),2014-2014,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1220,M Muralitharan (SL),2006-2010,12,12,1,1,0,0,1,1 (1ct 0st),0.083
1221,D Murphy (SCOT),2013-2013,4,4,1,1,0,1,0,1 (1ct 0st),0.25
1222,Musawar Shah (QAT),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1223,N M'shangwe (ZIM),2013-2014,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1224,AK Muslar (Blz),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1225,Muslim Yar (GER),2019-2019,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1226,T Muzarabani (ZIM),2015-2016,9,9,1,1,0,0,1,1 (1ct 0st),0.111
1227,M Mwamadi (MWI),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1228,Najjam Shahzad (PORT),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1229,DM Nakrani (UGA),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1230,W Nalisa (VAN),2019-2019,9,9,1,1,0,0,1,1 (1ct 0st),0.111
1231,DP Nannes (AUS/NL),2009-2010,17,17,1,1,0,0,1,1 (1ct 0st),0.057999999999999996
1232,Naseem Khushi (OMAN),2017-2019,10,10,1,1,0,0,1,1 (1ct 0st),0.1
1233,A Nathwani (Aut),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1234,A Natubhai Ahir (PNM),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1235,Naveed Ahmed (CZK-R),2019-2019,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1236,Nazakat Ali (NOR),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1237,Nazril Rahman (MAL),2019-2019,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1238,A Nel (SA),2005-2007,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1239,JD Nel (SCOT),2007-2010,10,9,1,1,0,0,1,1 (1ct 0st),0.111
1240,L Ngidi (SA),2017-2018,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1241,PA Nixon (ENG),2007-2007,1,1,1,0,1,0,0,1 (0ct 1st),1.0
1242,L Nussbaumer (GUE),2019-2019,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1243,SH Obed (VAN),2019-2019,12,12,1,1,0,0,1,1 (1ct 0st),0.083
1244,E Ochieng (KENYA),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1245,PP Ojha (INDIA),2009-2010,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1246,SNJ O'Keefe (AUS),2010-2011,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1247,IO Okpe (NGA),2019-2019,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1248,R Olipa (UGA),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1249,Omar Hayat (DEN),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1250,A Otwani (UGA),2019-2019,4,4,1,1,0,1,0,1 (1ct 0st),0.25
1251,SD Outerbridge (BMUDA),2008-2008,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1252,E Packard (GIBR),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1253,K Pala (PNG),2015-2015,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1254,I Pandey (NEPAL),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1255,NMS Param (SGP),2019-2019,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1256,PA Patel (INDIA),2011-2011,2,2,1,1,0,1,0,1 (1ct 0st),0.5
1257,RN Patel (KENYA),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1258,D Paterson (SA),2017-2018,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1259,C Pengkumta (THAI),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1260,AK Perera (SL),2013-2019,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1261,SL Perera (Ghana),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1262,WKD Perkins (WI),2008-2008,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1263,J Perman (ESP),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1264,AN Petersen (SA),2010-2010,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1265,VD Philander (SA),2007-2007,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1266,K Pierre (WI),2018-2019,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1267,R Pillai (GER),2019-2019,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1268,R Pisal (ROM),2019-2019,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1269,S Pokhriyal (CZK-R),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1270,KOA Powell (WI),2014-2014,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1271,M Pushpakumara (SL),2009-2009,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1272,A Rangaswamy (Botsw),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1273,Raqibul Hasan (BDESH),2008-2010,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1274,Raza Iqbal (NOR),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1275,CMW Read (ENG),2006-2006,1,1,1,1,0,1,0,1 (1ct 0st),1.0
1276,FL Reifer (WI),2009-2009,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1277,JB Reva (PNG),2015-2019,9,9,1,1,0,0,1,1 (1ct 0st),0.111
1278,KAJ Roach (WI),2008-2012,11,11,1,1,0,0,1,1 (1ct 0st),0.09
1279,IH Romaine (BMUDA),2008-2008,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1280,Rubel Hossain (BDESH),2009-2018,27,26,1,1,0,0,1,1 (1ct 0st),0.038
1281,Rumman Raees (PAK),2016-2018,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1282,RJMGM Rupasinghe (SL),2009-2009,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1283,GR Russ (PHI),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1284,HD Rutherford (NZ),2013-2019,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1285,SE Rutherford (WI),2018-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1286,Saad Nasim (PAK),2014-2014,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1287,VM Sachdev (PNM),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1288,Sadeeq Khan (ROM),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1289,Sahir Naqash (GER),2019-2019,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1290,NA Saini (INDIA),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1291,Sajedul Islam (BDESH),2013-2013,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1292,AM Samad (CAN),2008-2010,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1293,SV Samson (INDIA),2015-2015,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1294,R Sandaruwan (KUW),2019-2019,10,10,1,1,0,0,1,1 (1ct 0st),0.1
1295,JRMVB Sanjaya (SL),2017-2017,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1296,K Santokie (WI),2011-2014,12,12,1,1,0,0,1,1 (1ct 0st),0.083
1297,Saqlain Arshad (QAT),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1298,M Sarenac (Serb),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1299,A Sarma (GER),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1300,MM Sarwar (KUW),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1301,I Sawmy (DEN),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1302,Sayed Shirzad (AFG),2015-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1303,CP Schofield (ENG),2007-2007,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1304,Shaffeq Muhammad (),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1305,Shafiul Islam (BDESH),2010-2019,17,17,1,1,0,0,1,1 (1ct 0st),0.057999999999999996
1306,Shaheen Shah Afridi (PAK),2018-2019,10,10,1,1,0,0,1,1 (1ct 0st),0.1
1307,Shaheryar Butt (Belg),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1308,Shahid Wasif (HKG),2016-2019,9,9,1,1,0,0,1,1 (1ct 0st),0.111
1309,Shahriar Nafees (BDESH),2006-2006,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1310,A Shahzad (ENG),2010-2011,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1311,Shamsudheen Purat (Saudi),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1312,JNK Shannon (IRE),2013-2018,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1313,Sharafuddin Ashraf (AFG),2015-2019,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1314,MM Sharma (INDIA),2014-2015,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1315,V Shetty (UAE),2014-2014,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1316,Shoaib Khan jnr (PAK),2008-2008,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1317,Shuvagata Hom (BDESH),2016-2016,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1318,EHSN Silva (UAE),2014-2014,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1319,KRP Silva (USA),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1320,M Simpson-Parker (Aut),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1321,J Singye (BHU),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1322,DS Smith (WI),2007-2009,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1323,SJS Smith (SCOT),2010-2012,5,5,1,0,1,0,0,1 (0ct 1st),0.2
1324,J Smits (NL),2008-2009,6,5,1,1,0,1,0,1 (1ct 0st),0.2
1325,JT Smuts (SA),2017-2018,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1326,JN Snape (ENG),2007-2007,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1327,CB Sole (SCOT),2017-2018,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1328,A Srivastav (Chile),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1329,ACF Stokes (GUE),2019-2019,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1330,AJ Strauss (ENG),2005-2009,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1331,R Strydom (IRE),2008-2008,4,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1332,Sufyan Mehmood (OMAN),2015-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1333,P Syafiq Ali (MAL),2019-2019,2,1,1,1,0,0,1,1 (1ct 0st),1.0
1334,Syed Rasel (BDESH),2007-2008,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1335,Tanveer Ahmed (HKG),2016-2017,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1336,Taskin Ahmed (BDESH),2014-2018,19,17,1,1,0,0,1,1 (1ct 0st),0.057999999999999996
1337,P Taylor (CZK-R),2019-2019,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1338,T Taylor (Caym),2019-2019,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1339,SR Tendulkar (INDIA),2006-2006,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1340,SP Terry (IRE),2016-2016,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1341,DC Thomas (WI),2009-2013,3,3,1,0,1,0,0,1 (0ct 1st),0.33299999999999996
1342,S Tobgay (BHU),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1343,GC Tonge (WI),2009-2009,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1344,RJW Topley (ENG),2015-2016,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1345,A Tripathi (Mex),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1346,LL Tsotsobe (SA),2009-2014,23,23,1,1,0,0,1,1 (1ct 0st),0.043
1347,JJ Tucker (BMUDA),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1348,S Tyagi (INDIA),2009-2009,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1349,A Uniyal (Chile),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1350,Usama Master (MWI),2019-2019,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1351,Usman Ali (Saudi),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1352,Usman Limbada (CAN),2010-2013,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1353,Usman Shinwari (PAK),2013-2019,16,16,1,1,0,0,1,1 (1ct 0st),0.062
1354,Usman Waheed (KUW),2019-2019,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1355,JDF Vandersay (SL),2015-2019,10,10,1,1,0,0,1,1 (1ct 0st),0.1
1356,MB van Schelven (NL),2015-2015,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1357,TCW Veillard (GUE),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1358,S Vijayakumar (SGP),2019-2019,9,9,1,1,0,0,1,1 (1ct 0st),0.111
1359,Vimal Kumar (PHI),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1360,R Vinay Kumar (INDIA),2010-2013,9,9,1,1,0,0,1,1 (1ct 0st),0.111
1361,L Vincent (NZ),2006-2007,9,9,1,1,0,0,1,1 (1ct 0st),0.111
1362,W Viraliliu (VAN),2019-2019,10,10,1,1,0,0,1,1 (1ct 0st),0.1
1363,Vishal Ahir (PNM),2019-2019,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1364,KDK Vithanage (SL),2014-2016,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1365,Waqar Khan (Peru),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1366,Waqas Ali (Belg),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1367,Washeem Abbas (MALTA),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1368,VS Wategaonkar (OMAN),2016-2016,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1369,RM West (IRE),2009-2009,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1370,AA Westphal (Mex),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1371,BTJ Wheal (SCOT),2016-2017,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1372,BM Wheeler (NZ),2017-2018,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1373,S Wickramasekara (CZK-R),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
1374,SA Wijeyeratne (CAN),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1375,JD Wildermuth (AUS),2018-2018,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1376,CR Woakes (ENG),2011-2015,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1377,LJ Woodcock (NZ),2010-2011,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1378,GH Worker (NZ),2015-2015,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1379,AS Wright (GUE),2019-2019,8,8,1,1,0,0,1,1 (1ct 0st),0.125
1380,CM Wright (SCOT),2007-2009,3,2,1,1,0,0,1,1 (1ct 0st),0.5
1381,HN Ya France (NAM),2019-2019,6,6,1,1,0,0,1,1 (1ct 0st),0.166
1382,Yasar Idrees (KUW),2019-2019,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1383,Yasir Arafat (PAK),2007-2012,13,13,1,1,0,0,1,1 (1ct 0st),0.076
1384,Zaheer Maqsood (UAE),2015-2016,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1385,Zahid Hussain (CAN),2012-2012,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1386,Zameer Khan (DEN),2019-2019,2,2,1,1,0,0,1,1 (1ct 0st),0.5
1387,A Zampa (AUS),2016-2019,27,26,1,1,0,0,1,1 (1ct 0st),0.038
1388,C Zavoiu (ROM),2019-2019,3,3,1,1,0,0,1,1 (1ct 0st),0.33299999999999996
1389,Zawar Farid (UAE),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1390,Zeeshan Abbas (BAH),2019-2019,1,1,1,1,0,0,1,1 (1ct 0st),1.0
1391,Zubaidi Zulkifle (MAL),2019-2019,4,4,1,1,0,0,1,1 (1ct 0st),0.25
1392,Zulfiqar Babar (PAK),2013-2014,7,7,1,1,0,0,1,1 (1ct 0st),0.142
1393,Zulqarnain Haider (PAK),2007-2010,3,3,1,0,1,0,0,1 (0ct 1st),0.33299999999999996
1394,Zulqarnain Haider (ESP),2019-2019,5,5,1,1,0,0,1,1 (1ct 0st),0.2
