,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
225,PD McGlashan (NZ),2006-2010,11,11,9,9,0,9,0,3 (3ct 0st),0.818
226,Manpreet Singh (ITA),2019-2019,8,7,9,6,3,6,0,4 (3ct 1st),1.285
227,Mohamed Azzam (Mald),2019-2019,7,7,9,8,1,8,0,3 (3ct 0st),1.285
228,J Mubarak (SL),2007-2009,16,16,9,9,0,0,9,2 (2ct 0st),0.562
229,Mustafizur Rahman (BDESH),2015-2019,37,37,9,9,0,0,9,3 (3ct 0st),0.243
230,SO Ngoche (KENYA),2010-2019,28,28,9,9,0,0,9,2 (2ct 0st),0.321
231,RR Pant (INDIA),2017-2019,26,26,9,6,3,4,2,2 (2ct 0st),0.34600000000000003
232,YK Pathan (INDIA),2007-2012,22,22,9,9,0,0,9,2 (2ct 0st),0.409
233,R Powell (WI),2017-2019,23,23,9,9,0,0,9,2 (2ct 0st),0.391
234,MJ Prior (ENG),2007-2010,10,10,9,6,3,6,0,4 (4ct 0st),0.9
235,DMW Rawlins (BMUDA),2019-2019,11,11,9,9,0,0,9,3 (3ct 0st),0.818
236,JA Richardson (AUS),2017-2019,9,9,9,9,0,0,9,2 (2ct 0st),1.0
237,RR Rossouw (SA),2014-2016,15,15,9,9,0,0,9,3 (3ct 0st),0.6
238,CJO Smith (SCOT),2007-2009,8,7,9,5,4,5,0,2 (2ct 0st),1.285
239,IS Sodhi (NZ),2014-2019,40,39,9,9,0,0,9,1 (1ct 0st),0.23
240,MC Sorensen (IRE),2012-2016,26,24,9,9,0,0,9,2 (2ct 0st),0.375
241,BA Stokes (ENG),2011-2018,23,22,9,9,0,0,9,3 (3ct 0st),0.409
242,Sultan Ahmed (UAE),2017-2019,17,17,9,9,0,0,9,3 (3ct 0st),0.529
243,Suraj Kumar (OMAN),2019-2019,13,13,9,7,2,7,0,2 (2ct 0st),0.6920000000000001
244,JE Taylor (WI),2006-2018,30,30,9,9,0,0,9,1 (1ct 0st),0.3
245,T van der Gugten (NL),2012-2019,39,38,9,9,0,0,9,2 (2ct 0st),0.23600000000000002
246,DL Vettori (NZ),2007-2014,34,34,9,9,0,0,9,2 (2ct 0st),0.264
247,CD Wallace (SCOT),2012-2019,19,18,9,7,2,6,1,2 (2ct 0st),0.5
248,MN Waller (ZIM),2011-2018,32,32,9,9,0,0,9,1 (1ct 0st),0.281
249,D Wiese (SA),2013-2016,20,20,9,9,0,0,9,2 (2ct 0st),0.45
250,Zaheer Ibrahim (QAT),2019-2019,13,13,9,9,0,0,9,3 (3ct 0st),0.6920000000000001
251,Aizaz Khan (HKG),2014-2019,30,30,8,8,0,0,8,2 (2ct 0st),0.266
252,R Ashwin (INDIA),2010-2017,46,46,8,8,0,0,8,1 (1ct 0st),0.17300000000000001
253,S Bau (PNG),2016-2019,23,23,8,8,0,0,8,3 (3ct 0st),0.34700000000000003
254,DG Blampied (JER),2019-2019,17,17,8,8,0,0,8,2 (2ct 0st),0.47
255,AC Botha (IRE),2008-2010,14,13,8,8,0,0,8,2 (2ct 0st),0.615
256,JW Dernbach (ENG),2011-2014,34,33,8,8,0,0,8,2 (2ct 0st),0.242
257,JN Frylinck (NAM),2019-2019,14,14,8,8,0,0,8,2 (2ct 0st),0.5710000000000001
258,HH Gibbs (SA),2005-2010,23,23,8,8,0,0,8,3 (3ct 0st),0.34700000000000003
259,RR Hendricks (SA),2014-2019,22,22,8,8,0,0,8,1 (1ct 0st),0.363
260,H Klaasen (SA),2018-2019,9,9,8,8,0,5,3,2 (2ct 0st),0.888
261,MJ Lumb (ENG),2010-2014,27,26,8,8,0,0,8,1 (1ct 0st),0.307
262,BR McDermott (AUS),2018-2019,12,11,8,8,0,0,8,3 (3ct 0st),0.727
263,Manpreet Singh (SGP),2019-2019,12,12,8,4,4,4,0,2 (1ct 1st),0.6659999999999999
264,KD Mills (NZ),2005-2014,42,42,8,8,0,0,8,1 (1ct 0st),0.19
265,DJ Mitchell (NZ),2019-2019,9,9,8,8,0,0,8,2 (2ct 0st),0.888
266,Mohammad Nadeem (OMAN),2015-2019,22,22,8,8,0,0,8,3 (3ct 0st),0.363
267,M Mosehle (SA),2017-2017,7,7,8,6,2,6,0,3 (2ct 1st),1.1420000000000001
268,Nouman Sarwar (QAT),2019-2019,14,14,8,8,0,0,8,2 (2ct 0st),0.5710000000000001
